== Output:

mandelbrot, single, cpp, 0.345 sec
mandelbrot, simple, cpp, 0.351 sec
mandelbrot, complex, cpp, 0.329 sec
mandelbrot, single, cpy_cython, 0.396 sec
mandelbrot, simple, cpy_cython, 0.748 sec
mandelbrot, complex, cpy_cython, 0.973 sec
mandelbrot, single, cpy_swig, 0.334 sec
mandelbrot, simple, cpy_swig, 0.887 sec
mandelbrot, complex, cpy_swig, 1.120 sec
mandelbrot, single, cpy_manual, 0.394 sec
mandelbrot, simple, cpy_manual, 0.783 sec
mandelbrot, complex, cpy_manual, 1.082 sec
mandelbrot, single, cpy_cffi, 0.436 sec
mandelbrot, simple, cpy_cffi, 1.696 sec
mandelbrot, complex, cpy_cffi, 2.503 sec
mandelbrot, single, cpy_nanobind, 0.601 sec
mandelbrot, simple, cpy_nanobind, 1.099 sec
mandelbrot, complex, cpy_nanobind, 1.315 sec
mandelbrot, single, cpy_pybind11, 0.654 sec
mandelbrot, simple, cpy_pybind11, 1.778 sec
mandelbrot, complex, cpy_pybind11, 2.295 sec
mandelbrot, single, cpy_cppyy, 0.350 sec
mandelbrot, simple, cpy_cppyy, 1.880 sec
mandelbrot, complex, cpy_cppyy, 2.634 sec
mandelbrot, single, pypy_cffi, 0.455 sec
mandelbrot, simple, pypy_cffi, 0.891 sec
mandelbrot, complex, pypy_cffi, 1.170 sec
gameoflife, single, cpp, 0.093 sec
gameoflife, simple, cpp, 0.071 sec
gameoflife, complex, cpp, 0.052 sec
gameoflife, single, cpy_cython, 0.070 sec
gameoflife, simple, cpy_cython, 1.122 sec
gameoflife, complex, cpy_cython, 13.797 sec
gameoflife, single, cpy_swig, 0.078 sec
gameoflife, simple, cpy_swig, 1.311 sec
gameoflife, complex, cpy_swig, 14.807 sec
gameoflife, single, cpy_manual, 0.072 sec
gameoflife, simple, cpy_manual, 1.547 sec
gameoflife, complex, cpy_manual, 14.815 sec
gameoflife, single, cpy_cffi, 0.071 sec
gameoflife, simple, cpy_cffi, 3.930 sec
gameoflife, complex, cpy_cffi, 21.531 sec
gameoflife, single, cpy_nanobind, 0.077 sec
gameoflife, simple, cpy_nanobind, 1.481 sec
gameoflife, complex, cpy_nanobind, 14.753 sec
gameoflife, single, cpy_pybind11, 0.077 sec
gameoflife, simple, cpy_pybind11, 2.844 sec
gameoflife, complex, cpy_pybind11, 19.028 sec
gameoflife, single, cpy_cppyy, 0.073 sec
gameoflife, simple, cpy_cppyy, 1.693 sec
gameoflife, complex, cpy_cppyy, 15.106 sec
gameoflife, single, pypy_cffi, 0.071 sec
gameoflife, simple, pypy_cffi, 0.213 sec
gameoflife, complex, pypy_cffi, 1.085 sec
mandelbrot, single, cpp, 0.351 sec
mandelbrot, simple, cpp, 0.346 sec
mandelbrot, complex, cpp, 0.327 sec
mandelbrot, single, cpy_cython, 0.384 sec
mandelbrot, simple, cpy_cython, 0.715 sec
mandelbrot, complex, cpy_cython, 0.956 sec
mandelbrot, single, cpy_swig, 0.332 sec
mandelbrot, simple, cpy_swig, 0.934 sec
mandelbrot, complex, cpy_swig, 1.064 sec
mandelbrot, single, cpy_manual, 0.346 sec
mandelbrot, simple, cpy_manual, 0.789 sec
mandelbrot, complex, cpy_manual, 1.078 sec
mandelbrot, single, cpy_cffi, 0.439 sec
mandelbrot, simple, cpy_cffi, 1.631 sec
mandelbrot, complex, cpy_cffi, 2.379 sec
mandelbrot, single, cpy_nanobind, 0.602 sec
mandelbrot, simple, cpy_nanobind, 1.110 sec
mandelbrot, complex, cpy_nanobind, 1.308 sec
mandelbrot, single, cpy_pybind11, 0.629 sec
mandelbrot, simple, cpy_pybind11, 1.734 sec
mandelbrot, complex, cpy_pybind11, 2.261 sec
mandelbrot, single, cpy_cppyy, 0.351 sec
mandelbrot, simple, cpy_cppyy, 1.954 sec
mandelbrot, complex, cpy_cppyy, 2.632 sec
mandelbrot, single, pypy_cffi, 0.454 sec
mandelbrot, simple, pypy_cffi, 0.892 sec
mandelbrot, complex, pypy_cffi, 1.181 sec
gameoflife, single, cpp, 0.071 sec
gameoflife, simple, cpp, 0.095 sec
gameoflife, complex, cpp, 0.052 sec
gameoflife, single, cpy_cython, 0.076 sec
gameoflife, simple, cpy_cython, 1.090 sec
gameoflife, complex, cpy_cython, 14.310 sec
gameoflife, single, cpy_swig, 0.072 sec
gameoflife, simple, cpy_swig, 1.239 sec
gameoflife, complex, cpy_swig, 13.656 sec
gameoflife, single, cpy_manual, 0.070 sec
gameoflife, simple, cpy_manual, 1.403 sec
gameoflife, complex, cpy_manual, 14.144 sec
gameoflife, single, cpy_cffi, 0.069 sec
gameoflife, simple, cpy_cffi, 3.760 sec
gameoflife, complex, cpy_cffi, 20.390 sec
gameoflife, single, cpy_nanobind, 0.071 sec
gameoflife, simple, cpy_nanobind, 1.364 sec
gameoflife, complex, cpy_nanobind, 14.167 sec
gameoflife, single, cpy_pybind11, 0.071 sec
gameoflife, simple, cpy_pybind11, 2.826 sec
gameoflife, complex, cpy_pybind11, 19.103 sec
gameoflife, single, cpy_cppyy, 0.071 sec
gameoflife, simple, cpy_cppyy, 1.746 sec
gameoflife, complex, cpy_cppyy, 14.984 sec
gameoflife, single, pypy_cffi, 0.070 sec
gameoflife, simple, pypy_cffi, 0.209 sec
gameoflife, complex, pypy_cffi, 1.108 sec
mandelbrot, single, cpp, 0.350 sec
mandelbrot, simple, cpp, 0.331 sec
mandelbrot, complex, cpp, 0.327 sec
mandelbrot, single, cpy_cython, 0.389 sec
